,Bedrooms,Bathrooms,Area,Price,Locality
447,3,1,1500,15000,"BommarilluHomes,MadhuraNagar-Nizampet"
448,3,2,1800,17500,"SapthagiriEnclave,Bachupally,OuterRingRoad"
449,3,2,1250,24000,"MalaysianTownship,Kukatpally,NH"
450,2,2,1314,30000,"Narsingi,OuterRingRoad"
451,4,2,1850,38000,Begumpet
452,2,2,1314,30000,"MyHomeAvatar,Narsingi,OuterRingRoad"
453,3,2,1475,15000,SivajiNagar-Chandanagar
454,2,1,1090,30000,"Lakdikapul,NH"
455,2,2,150,9000,"Uppal,NH"
456,3,2,1400,25000,"DundooClassicTower,Boiguda"
457,3,2,1365,15000,"JaiJawaharNagar,Secunderabad"
458,2,2,970,12000,Ashgoli
459,2,1,1150,12000,Adibatla
460,3,2,1477,25000,Kondapur
461,3,1,1350,18000,ToliChowki
462,2,1,900,16000,"Hafeezpet,NH"
463,3,2,1550,19500,"MayflowerHeights,Mallapur"
464,3,2,1100,9500,"Bandlaguda,Nagole,SrisailamHighway"
465,2,2,1000,14000,"Gangaram,Chandanagar,NH"
466,3,3,1870,42000,"VajrasJasmineCounty,Gachibowli,OuterRingRoad"
467,3,3,2535,30000,"PatelsBrightView,Yapral"
468,3,2,1500,27000,"Secunderabad,RashtrapatiROAd"
469,3,3,1654,16000,"VSRCelestialTowers,Gajularamaram"
470,3,5,2300,28000,"SMRVinayHarmonyCounty,Appajunction"
472,3,1,2630,45000,"HallmarkKSNResidency,Kondapur"
473,3,2,1800,45000,"VittalRaoNagar,HitechCity"
474,2,1,1275,20000,"NCLSindhu,SatyamEnclave,Komapally,NH"
475,2,2,1100,11000,"ManovikasNagar,Secunderabad,NH"
476,3,2,1834,41000,"MyHomeAvatar,Narsingi,OuterRingRoad"
477,3,2,1533,28000,"Ramanthapur,NH"
478,3,2,1250,18000,"PragathiNagar,Kukatpally"
479,4,1,1500,9000,"Bandlaguda,Nagole,SrisailamHighway"
480,2,2,900,8000,Patelguda
481,2,2,950,11000,SuchitraRoad
482,3,3,1555,32000,"Hafeezpet,NH"
483,3,2,1600,26000,"GreenFieldColony,Secunderabad"
484,2,1,1101,14500,"Bachupally,OuterRingRoad"
485,3,3,2800,45000,NearGachibowliFinancilDist.
486,3,3,1400,16500,"MoulaAli,MoulaAliRoad"
487,3,3,2200,50000,Gachibwoli(ORRjunction)
488,2,1,1314,36000,"MyHomeAvatar,Narsingi,OuterRingRoad"
489,3,1,1490,35000,"AdityaNagar,Hafeezpet"
490,3,3,2200,32000,"SRISAIRAMTowers,IndraReddyAlwynColony,Miyapur,NH"
491,2,2,1130,18000,Adibatla
492,3,2,1875,41000,Shaikpet
493,3,2,1275,13000,"GaghanPahad,RajendraNagar,OuterRingRoad"
494,3,2,1510,22000,"Hafeezpet,NH"
